id,Geographic Area,Households Median income (dollars),Year
0400000US42,Pennsylvania,55702,2015
0400000US44,Rhode Island,58073,2015
0400000US45,South Carolina,47238,2015
0400000US46,South Dakota,53017,2015
0400000US47,Tennessee,47275,2015
0400000US48,Texas,55653,2015
0400000US49,Utah,62912,2015
0400000US50,Vermont,56990,2015
0400000US51,Virginia,66262,2015
0400000US53,Washington,64129,2015
0400000US54,West Virginia,42019,2015
0400000US55,Wisconsin,55638,2015
0400000US56,Wyoming,60214,2015
0400000US72,Puerto Rico,18626,2015
0400000US01,Alabama,46257,2016
0400000US02,Alaska,76440,2016
0400000US04,Arizona,53558,2016
0400000US05,Arkansas,44334,2016
0400000US06,California,67739,2016
0400000US08,Colorado,65685,2016
0400000US09,Connecticut,73433,2016
0400000US10,Delaware,61757,2016
0400000US11,District of Columbia,75506,2016
0400000US12,Florida,50860,2016
0400000US13,Georgia,53559,2016
0400000US15,Hawaii,74511,2016
0400000US16,Idaho,51807,2016
0400000US17,Illinois,60960,2016
0400000US18,Indiana,52314,2016
0400000US19,Iowa,56247,2016
0400000US20,Kansas,54935,2016
0400000US21,Kentucky,46659,2016
0400000US22,Louisiana,45146,2016
0400000US23,Maine,53079,2016
0400000US24,Maryland,78945,2016
0400000US25,Massachusetts,75297,2016
0400000US26,Michigan,52492,2016
0400000US27,Minnesota,65599,2016
0400000US28,Mississippi,41754,2016
0400000US29,Missouri,51746,2016
0400000US30,Montana,50027,2016
0400000US31,Nebraska,56927,2016
0400000US32,Nevada,55180,2016
0400000US33,New Hampshire,70936,2016
0400000US34,New Jersey,76126,2016
0400000US35,New Mexico,46748,2016
0400000US36,New York,62909,2016
0400000US37,North Carolina,50584,2016
0400000US38,North Dakota,60656,2016
0400000US39,Ohio,52334,2016
0400000US40,Oklahoma,49176,2016
0400000US41,Oregon,57532,2016
0400000US42,Pennsylvania,56907,2016
0400000US44,Rhode Island,60596,2016
0400000US45,South Carolina,49501,2016
0400000US46,South Dakota,54467,2016
0400000US47,Tennessee,48547,2016
0400000US48,Texas,56565,2016
0400000US49,Utah,65977,2016
0400000US50,Vermont,57677,2016
